State,District,Total Offices in District,unique_pincodes,Saturation Score,avg_lat,avg_lon
LAKSHADWEEP,LAKSHADWEEP DISTRICT,10,9,1.1111111111111112,10.794574,72.886769
TELANGANA,HYDERABAD,91,57,1.5964912280701755,17.443526135767776,78.51736678476816
ASSAM,KAMRUP METRO,78,44,1.7727272727272727,26.99126336538462,90.88996980897436
TAMIL NADU,CHENNAI,152,83,1.8313253012048192,13.044879892894738,80.17656455552633
MAHARASHTRA,MUMBAI SUBURBAN,118,57,2.0701754385964914,19.124585572813057,72.87667845115831
NAN,NAN,715,338,2.1153846153846154,225.5737423378733,268413.27950206696
CHANDIGARH,CHANDIGARH,53,23,2.3043478260869565,30.627202199245282,77.05978472981131
KARNATAKA,BENGALURU URBAN,279,117,2.3846153846153846,12.936123314400001,77.5809618464
JAMMU AND KASHMIR,SRINAGAR,58,23,2.5217391304347827,33.60503289310345,72.7257763637931
KERALA,ALAPPUZHA,298,116,2.5689655172413794,9.404304290459365,76.44868925406361
HARYANA,PANCHKULA,50,19,2.6315789473684212,30.508587652000003,76.7381399
JAMMU AND KASHMIR,KISHTWAR,35,13,2.6923076923076925,12.972023400000001,28.572539942857144
PUDUCHERRY,PONDICHERRY,63,23,2.739130434782609,11.91853735967742,79.74103447580644
KERALA,ERNAKULAM,394,143,2.7552447552447554,10.121855368641285,76.42678155504011
KERALA,PATHANAMTHITTA,318,111,2.864864864864865,9.342696459044369,76.74801311262799
TELANGANA,MEDCHAL MALKAJGIRI,101,35,2.8857142857142857,17.510516958071452,78.56246117933756
KERALA,THRISSUR,485,168,2.886904761904762,10.4221863666,76.2166859564
GOA,NORTH GOA,133,46,2.891304347826087,49.28327996323308,39.97660079481203
GOA,SOUTH GOA,128,44,2.909090909090909,48.67152947257812,41.25557651084375
DELHI,SOUTH EAST,35,12,2.9166666666666665,28.55885559142857,77.25251955714286
